record_id,source_dataset,data_origin,borrower_scope,dataset,business_age_years,registered_capital_wan,industry,employee_count,annual_revenue_wan,annual_profit_wan,profit_margin,cash_flow_wan,asset_liability_ratio,invalid_invoice_ratio,supplier_count,customer_count,customer_concentration,tax_level,tax_score,annual_tax_wan,has_default_history,overdue_count_2yr,credit_inquiry_3m,legal_disputes,has_real_estate,real_estate_value_wan,has_other_collateral,revenue_volatility,is_ecommerce,is_tech_enterprise,default_probability,has_defaulted,credit_rating,loan_amount,loan_currency,loan_term,interest_rate,has_license,has_bank_flow,overdue_history,has_guarantee,original_credit_risk,checking_status_code,credit_history_code,loan_purpose_code,loan_purpose,savings_code,employment_duration_code,installment_rate_code,personal_status_sex_code,other_debtors_code,present_residence_code,property_code,age,other_installment_plans_code,housing_code,number_credits_code,job_code,people_liable_code,telephone_code,foreign_worker_code,risk_label,risk_label_definition
SGC-0001,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049,DEM,18,,,,,0,1,1,4,2,used_car,1,2,4,2,1,4,2,21,3,1,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0038,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934,DEM,12,,,,,0,1,4,4,3,furniture_equipment,1,5,2,3,1,2,4,26,3,2,2,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0039,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3378,DEM,18,,,,,0,1,4,2,1,new_car,5,3,2,3,1,1,2,31,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0040,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3868,DEM,24,,,,,0,1,4,4,1,new_car,1,5,4,2,1,2,3,41,3,1,2,4,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0041,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,DEM,12,,,,,0,1,4,4,5,domestic_appliances,5,4,4,2,1,4,1,23,3,2,2,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0042,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755,DEM,24,,,,,1,1,1,2,10,business,1,5,4,2,3,4,1,58,3,2,1,2,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0043,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,DEM,18,,,,,0,1,4,4,0,other,1,3,4,2,1,3,1,36,3,2,2,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0044,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2825,DEM,24,,,,,0,1,2,4,9,retraining,5,4,4,3,1,3,4,34,3,2,2,3,1,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0045,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1239,DEM,18,,,,,0,1,2,2,6,repairs,5,3,4,3,1,4,4,61,3,3,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0046,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1216,DEM,18,,,,,0,0,1,2,0,other,1,2,4,2,1,3,3,23,3,1,1,3,2,2,2,1,1=bad credit risk; 0=good credit risk
SGC-0047,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258,DEM,24,,,,,0,1,4,2,9,retraining,1,4,4,3,1,1,1,25,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0048,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1864,DEM,18,,,,,0,0,4,4,6,repairs,2,3,4,2,1,2,1,30,3,2,2,3,2,1,2,1,1=bad credit risk; 0=good credit risk
SGC-0049,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474,DEM,24,,,,,0,1,4,2,0,other,2,2,4,4,1,3,1,33,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0050,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382,DEM,24,,,,,0,1,1,4,9,retraining,2,4,4,3,1,1,1,26,3,2,2,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0051,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,DEM,12,,,,,0,1,4,2,0,other,1,3,4,1,1,2,1,49,3,2,1,2,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0052,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3919,DEM,36,,,,,0,1,3,2,3,furniture_equipment,1,3,2,3,1,2,1,23,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0053,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224,DEM,9,,,,,0,1,4,4,0,other,1,3,3,3,1,1,1,30,3,2,2,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0054,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2331,DEM,12,,,,,0,1,4,4,3,furniture_equipment,5,5,1,3,2,4,1,49,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0055,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6313,DEM,24,,,,,0,1,4,2,1,new_car,5,5,3,3,1,4,3,41,3,2,1,4,1,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0056,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,DEM,12,,,,,0,1,1,4,3,furniture_equipment,1,4,4,2,1,3,1,58,3,2,4,2,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0057,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655,DEM,12,,,,,0,1,4,4,3,furniture_equipment,1,5,2,3,1,4,1,63,3,2,2,2,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0058,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,DEM,15,,,,,0,1,1,2,3,furniture_equipment,1,2,4,4,1,2,1,27,3,2,1,3,2,1,1,0,1=bad credit risk; 0=good credit risk
SGC-0059,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160,DEM,21,,,,,0,1,4,2,3,furniture_equipment,5,5,4,3,1,3,2,41,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0060,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3079,DEM,36,,,,,0,1,4,2,0,other,5,3,4,3,1,4,1,36,3,2,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0061,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163,DEM,12,,,,,0,1,4,4,0,other,3,3,4,3,1,4,1,44,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0062,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2679,DEM,24,,,,,0,1,4,2,1,new_car,1,2,4,2,1,1,4,29,3,2,1,4,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0063,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3578,DEM,48,,,,,0,1,4,4,3,furniture_equipment,5,5,4,3,1,1,1,47,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0064,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10875,DEM,36,,,,,0,1,4,3,0,other,1,5,2,3,1,2,3,45,3,2,2,3,1,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0065,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344,DEM,12,,,,,0,1,1,3,0,other,1,3,4,3,1,2,1,43,3,2,2,2,1,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0066,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237,DEM,6,,,,,0,1,4,4,3,furniture_equipment,2,3,1,2,1,1,2,27,3,2,2,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0067,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3077,DEM,12,,,,,0,1,4,2,3,furniture_equipment,1,3,2,3,1,4,3,52,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0068,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2284,DEM,24,,,,,0,1,4,2,3,furniture_equipment,1,4,4,3,1,2,3,28,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0069,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567,DEM,12,,,,,0,1,2,2,3,furniture_equipment,1,3,1,2,1,1,3,22,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0070,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032,DEM,24,,,,,0,1,4,3,0,other,1,5,4,3,1,4,4,60,3,3,2,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0071,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2745,DEM,21,,,,,0,1,2,4,2,used_car,4,4,3,3,1,2,3,32,3,2,2,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0072,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867,DEM,30,,,,,0,1,4,2,3,furniture_equipment,5,5,4,3,1,4,3,58,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0073,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299,DEM,36,,,,,0,1,4,2,3,furniture_equipment,3,5,4,3,1,4,3,39,3,2,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0074,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929,DEM,24,,,,,0,1,4,2,2,used_car,5,4,4,3,1,2,3,31,2,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0075,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3399,DEM,12,,,,,0,1,3,2,3,furniture_equipment,5,5,2,3,1,3,3,37,3,2,1,4,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0076,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030,DEM,9,,,,,0,1,2,2,2,used_car,5,4,2,3,1,1,3,24,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0077,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3275,DEM,21,,,,,0,1,4,4,1,new_car,1,5,1,3,1,4,3,36,3,2,1,4,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0078,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940,DEM,24,,,,,0,1,4,4,0,other,4,5,4,3,1,4,1,60,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0079,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602,DEM,21,,,,,0,1,1,4,0,other,1,5,4,4,1,3,3,30,3,2,2,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0080,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979,DEM,15,,,,,0,1,4,2,3,furniture_equipment,5,5,4,3,1,2,3,35,3,2,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0081,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,DEM,24,,,,,0,1,4,4,0,other,1,3,4,2,1,4,3,37,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0082,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3342,DEM,36,,,,,0,1,4,4,3,furniture_equipment,5,5,4,3,1,2,3,51,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0083,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5866,DEM,18,,,,,0,1,2,2,0,other,2,3,2,3,1,2,3,30,3,2,2,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0084,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360,DEM,15,,,,,0,1,3,4,1,new_car,3,3,2,3,1,2,3,36,3,2,1,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0085,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520,DEM,15,,,,,0,1,4,4,2,used_car,5,5,4,3,1,4,2,63,3,2,1,3,2,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0086,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651,DEM,12,,,,,0,1,1,2,0,other,4,3,1,3,1,3,2,31,3,2,1,3,1,1,2,0,1=bad credit risk; 0=good credit risk
SGC-0087,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2346,DEM,24,,,,,0,1,4,4,1,new_car,1,4,4,3,1,3,3,35,3,2,2,3,2,2,2,0,1=bad credit risk; 0=good credit risk
SGC-0088,UCI South German Credit,public_real_world_historical,individual,UCI_South_German_Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4454,DEM,36,,,,,0,1,4,3,3,furniture_equipment,1,3,4,2,1,4,1,34,3,2,2,3,2,1,2,0,1=bad credit risk; 0=good credit risk
