case_id,case_type,borrower_type,industry,business_age,loan_amount,loan_currency,loan_term,interest_rate,risk_signal,result,reason,summary,source_type,source_url,is_synthetic,legal_policy_reference,agent_usage
CASE-SYN-015,rejected,个体工商户,批发,2,550000,CNY,12,,银行流水缺失；用途说明模糊,未获批,关键材料不足且用途无法核验,教学案例：个体工商户申请550000元、期限12个月；银行流水缺失；用途说明模糊。结果为未获批，主要原因是关键材料不足且用途无法核验。,synthetic_teaching_case,,1,流动资金贷款管理办法,相似案例匹配；风险信号解释；教学展示
CASE-SYN-016,overdue,小微企业,建筑装饰,4,650000,CNY,12,,项目回款延迟；应收账款集中,逾期30天,单一项目回款延误导致流动性缺口,教学案例：小微企业申请650000元、期限12个月；项目回款延迟；应收账款集中。结果为逾期30天，主要原因是单一项目回款延误导致流动性缺口。,synthetic_teaching_case,,1,流动资金贷款管理办法,相似案例匹配；风险信号解释；教学展示
CASE-SYN-017,default,小微企业,服装加工,6,950000,CNY,24,,存货积压；订单下降；已有高负债,违约,现金流持续为负且去库存失败,教学案例：小微企业申请950000元、期限24个月；存货积压；订单下降；已有高负债。结果为违约，主要原因是现金流持续为负且去库存失败。,synthetic_teaching_case,,1,流动资金贷款管理办法,相似案例匹配；风险信号解释；教学展示
CASE-SYN-018,guarantee_dispute,小微企业,物流,7,750000,CNY,18,,关联公司保证；内部决议资料不完整,发生担保纠纷,担保授权与审查存在争议,教学案例：小微企业申请750000元、期限18个月；关联公司保证；内部决议资料不完整。结果为发生担保纠纷，主要原因是担保授权与审查存在争议。,synthetic_teaching_case,,1,民法典担保制度司法解释,相似案例匹配；风险信号解释；教学展示
CASE-SYN-019,renewal,小微企业,农产品加工,5,450000,CNY,12,,经营正常；临时周转；信用良好,完成续贷,持续经营且符合重新调查评审要求,教学案例：小微企业申请450000元、期限12个月；经营正常；临时周转；信用良好。结果为完成续贷，主要原因是持续经营且符合重新调查评审要求。,synthetic_teaching_case,,1,小微企业续贷通知,相似案例匹配；风险信号解释；教学展示
CASE-SYN-020,supply_chain,小微企业,汽车零部件,9,1250000,CNY,12,,核心企业订单可核验；回款路径清晰,获批,贸易背景真实且应收账款质量较好,教学案例：小微企业申请1250000元、期限12个月；核心企业订单可核验；回款路径清晰。结果为获批，主要原因是贸易背景真实且应收账款质量较好。,synthetic_teaching_case,,1,流动资金贷款管理办法,相似案例匹配；风险信号解释；教学展示
CASE-SYN-021,approved,小微企业,餐饮,3,400000,CNY,12,,流水稳定；租金占比适中；无逾期,获批,现金流覆盖还款且材料完整,教学案例：小微企业申请400000元、期限12个月；流水稳定；租金占比适中；无逾期。结果为获批，主要原因是现金流覆盖还款且材料完整。,synthetic_teaching_case,,1,流动资金贷款管理办法,相似案例匹配；风险信号解释；教学展示
CASE-SYN-022,approved,个体工商户,零售,5,250000,CNY,12,,经营三年；收单流水连续,获批,经营稳定且贷款用途清晰,教学案例：个体工商户申请250000元、期限12个月；经营三年；收单流水连续。结果为获批，主要原因是经营稳定且贷款用途清晰。,synthetic_teaching_case,,1,流动资金贷款管理办法,相似案例匹配；风险信号解释；教学展示
CASE-SYN-023,approved,小微企业,制造业,8,900000,CNY,24,,订单稳定；应收账款可核验；有保证,获批,还款来源可验证且有增信,教学案例：小微企业申请900000元、期限24个月；订单稳定；应收账款可核验；有保证。结果为获批，主要原因是还款来源可验证且有增信。,synthetic_teaching_case,,1,流动资金贷款管理办法,相似案例匹配；风险信号解释；教学展示
CASE-SYN-024,rejected,初创企业,软件服务,0.5,1100000,CNY,36,,成立不足一年；收入波动；额度偏高,未获批,经营历史短且偿债覆盖不足,教学案例：初创企业申请1100000元、期限36个月；成立不足一年；收入波动；额度偏高。结果为未获批，主要原因是经营历史短且偿债覆盖不足。,synthetic_teaching_case,,1,流动资金贷款管理办法,相似案例匹配；风险信号解释；教学展示
CASE-SYN-025,rejected,个体工商户,批发,2,600000,CNY,12,,银行流水缺失；用途说明模糊,未获批,关键材料不足且用途无法核验,教学案例：个体工商户申请600000元、期限12个月；银行流水缺失；用途说明模糊。结果为未获批，主要原因是关键材料不足且用途无法核验。,synthetic_teaching_case,,1,流动资金贷款管理办法,相似案例匹配；风险信号解释；教学展示
CASE-SYN-026,overdue,小微企业,建筑装饰,4,700000,CNY,12,,项目回款延迟；应收账款集中,逾期30天,单一项目回款延误导致流动性缺口,教学案例：小微企业申请700000元、期限12个月；项目回款延迟；应收账款集中。结果为逾期30天，主要原因是单一项目回款延误导致流动性缺口。,synthetic_teaching_case,,1,流动资金贷款管理办法,相似案例匹配；风险信号解释；教学展示
CASE-SYN-027,default,小微企业,服装加工,6,1000000,CNY,24,,存货积压；订单下降；已有高负债,违约,现金流持续为负且去库存失败,教学案例：小微企业申请1000000元、期限24个月；存货积压；订单下降；已有高负债。结果为违约，主要原因是现金流持续为负且去库存失败。,synthetic_teaching_case,,1,流动资金贷款管理办法,相似案例匹配；风险信号解释；教学展示
CASE-SYN-028,guarantee_dispute,小微企业,物流,7,800000,CNY,18,,关联公司保证；内部决议资料不完整,发生担保纠纷,担保授权与审查存在争议,教学案例：小微企业申请800000元、期限18个月；关联公司保证；内部决议资料不完整。结果为发生担保纠纷，主要原因是担保授权与审查存在争议。,synthetic_teaching_case,,1,民法典担保制度司法解释,相似案例匹配；风险信号解释；教学展示
CASE-SYN-029,renewal,小微企业,农产品加工,5,500000,CNY,12,,经营正常；临时周转；信用良好,完成续贷,持续经营且符合重新调查评审要求,教学案例：小微企业申请500000元、期限12个月；经营正常；临时周转；信用良好。结果为完成续贷，主要原因是持续经营且符合重新调查评审要求。,synthetic_teaching_case,,1,小微企业续贷通知,相似案例匹配；风险信号解释；教学展示
CASE-SYN-030,supply_chain,小微企业,汽车零部件,9,1300000,CNY,12,,核心企业订单可核验；回款路径清晰,获批,贸易背景真实且应收账款质量较好,教学案例：小微企业申请1300000元、期限12个月；核心企业订单可核验；回款路径清晰。结果为获批，主要原因是贸易背景真实且应收账款质量较好。,synthetic_teaching_case,,1,流动资金贷款管理办法,相似案例匹配；风险信号解释；教学展示
