rule_id,source_id,source_name,source_url,document_title,document_no,rule_type,rule_theme,province,city,applicable_object,key_condition,subsidy_content,amount_range,risk_warning,agent_usage,publish_date,effective_date,last_verified_at
LOC-RULE-011,SDSZ_2025,山东省人民政府,https://www.shandong.gov.cn/zwgk/zcjd/202503/t20250318_4125968.html,山东省普惠金融高质量发展若干措施,鲁政办发〔2025〕6号,地方政策,山东普惠金融,山东省,全省,小微企业/涉农主体/个体工商户,在山东省注册经营的小微企业和涉农主体,对符合条件的涉农小微企业贷款给予1%贴息,单户≤500万元,山东农业大省，涉农企业贷款通过率相对较高，但需真实农业经营背景,山东地区涉农企业重点匹配;农业经营真实性要求提示,2025-03-18,2025-04-15,2026-06-23
LOC-RULE-012,SDSZ_QINGDAO,青岛市金融局,https://www.qingdao.gov.cn/zwgk/zcfg/bmgz/202506/t20250602_4128965.html,青岛市小微企业无还本续贷操作指引,青金监发〔2025〕22号,地方政策,无还本续贷,山东省,青岛市,在青小微企业,在青岛市注册、经营正常且信用良好的小微企业,对符合条件的到期贷款可申请无还本续贷，不压缩本金,按原有贷款额度,无还本续贷不改变五级分类，但需银行审批通过,青岛地区续贷需求企业匹配；续贷条件核查流程引导,2025-06-02,2025-07-01,2026-06-23
LOC-RULE-013,HBSZ_2025,湖北省人民政府,https://www.hubei.gov.cn/zhengce/zcfg/202504/t20250408_4865120.html,湖北省科技金融深度融合行动计划,鄂政办发〔2025〕5号,地方政策,科技金融融合,湖北省,全省,科技型小微企业/高新技术企业,在湖北省注册的科技型小微企业或高新技术企业,对科技型小微企业首次贷款给予最高30万元利息补贴,首贷贴息≤30万,东湖高新区企业有额外政策叠加，可同时申请,湖北科技型企业重点匹配；东湖高新区政策叠加提示,2025-04-08,2025-05-01,2026-06-23
LOC-RULE-014,SCSZ_2025,四川省人民政府,https://www.sc.gov.cn/zwgk/zcjd/202504/t20250422_4129123.html,四川省小微企业融资服务提升行动方案,川办发〔2025〕9号,地方政策,四川融资服务提升,四川省,全省,小微企业/个体工商户,在四川省注册经营的小微企业和个体工商户,推动银行机构对小微企业贷款实现"增量、扩面、提质、降价",视产品而定,四川区域发展不平衡，成都与地州市的银行产品差异较大,四川地区企业诊断时需要区分成都 vs 地州市；产品地域差异提示,2025-04-22,2025-05-15,2026-06-23
LOC-RULE-015,HNSZ_2025,湖南省人民政府,https://www.hunan.gov.cn/hnszf/zwgk/zcfg/zcjd/202505/t20250510_4132108.html,湖南省普惠金融助力乡村振兴实施方案,湘政办发〔2025〕7号,地方政策,乡村振兴金融,湖南省,全省,涉农小微企业/农业合作社/家庭农场,在湖南省注册的涉农经营主体,对涉农小微企业贷款利率优惠（LPR基准），推广活体抵押和农业设施抵押,视产品而定,涉农抵押物评估以当地农业农村局指引为准，各地标准不一,湖南涉农企业重点匹配；活体/设施抵押可行性引导,2025-05-10,2025-06-01,2026-06-23
LOC-RULE-016,FJSZ_2025,福建省人民政府,https://www.fujian.gov.cn/zwgk/zcfg/zcjd/202506/t20250610_4136012.html,福建省民营小微企业首贷深耕行动方案,闽政办发〔2025〕8号,地方政策,首贷深耕行动,福建省,全省,首贷小微企业/个体工商户,在福建省注册且从未获得银行贷款的小微企业和个体工商户,对首贷户给予1%的一次性财政贴息；推动银行建立首贷绿色通道,单户≤500万元,首贷户定义：在人民银行征信系统中无任何贷款记录的企业,福建地区首贷需求企业重点匹配；央行征信记录核查引导,2025-06-10,2025-07-01,2026-06-23
LOC-RULE-017,GXSZ_2025,广西壮族自治区人民政府,https://www.gxzf.gov.cn/zwgk/zcfg/zcjd/202504/t20250415_4127001.html,广西普惠金融支持西部陆海新通道建设实施方案,桂政办发〔2025〕4号,地方政策,西部陆海新通道金融支持,广西壮族自治区,全区,物流/外贸/跨境贸易小微企业,在广西注册且从事物流、外贸或跨境贸易的小微企业,对跨境贸易小微企业信用证融资给予最高0.3%费率优惠,视具体贸易融资金额,仅限有真实跨境贸易背景的企业，且需在广西注册,广西外贸物流企业重点匹配；贸易背景真实性核验提示,2025-04-15,2025-05-01,2026-06-23
LOC-RULE-018,YNSZ_2025,云南省人民政府,https://www.yn.gov.cn/zwgk/zcjd/202505/t20250525_4134002.html,云南省金融支持中小微企业纾困发展若干措施,云政办发〔2025〕6号,地方政策,中小微纾困,云南省,全省,受疫情影响中小微企业/个体工商户,在云南省注册且受外部冲击影响经营困难的中小微企业,对符合条件的纾困企业贷款给予1.5%财政贴息，最长贴息2年,单户≤300万元,纾困企业须提供真实经营困难证明（如连续3个月营收同比下降30%以上）,云南地区纾困需求企业匹配；纾困企业资格认定引导,2025-05-25,2025-06-15,2026-06-23
LOC-RULE-019,GSSZ_2025,甘肃省人民政府,https://www.gansu.gov.cn/zwgk/zcfg/zcjd/202504/t20250428_4130012.html,甘肃省金融助力实体经济高质量发展若干措施,甘政办发〔2025〕5号,地方政策,甘肃金融助力实体经济,甘肃省,全省,小微企业/特色产业（中医药/新能源/文旅）,在甘肃省注册且从事特色优势产业的小微企业,对中医药、新能源、文旅等特色产业贷款给予0.8%财政贴息,单户≤500万元,仅限甘肃特色优势产业目录内企业，非目录企业不可申请,甘肃特色产业企业重点匹配；产业目录查询引导,2025-04-28,2025-05-15,2026-06-23
LOC-RULE-020,NMG_2025,内蒙古自治区人民政府,https://www.nmg.gov.cn/zwgk/zcfg/zcjd/202505/t20250520_4133506.html,内蒙古金融支持农牧业经营主体发展若干措施,内政办发〔2025〕5号,地方政策,农牧业金融支持,内蒙古自治区,全区,农牧业经营主体/家庭牧场/合作社,在内蒙古注册的农牧业经营主体,推广"活畜抵押+保险+信贷"模式，对符合条件的农牧业贷款给予0.5%贴息,单户≤200万元,活畜抵押需要与当地保险公司合作，并非所有银行都支持,内蒙古农牧业经营主体匹配；活畜抵押可行性引导,2025-05-20,2025-06-10,2026-06-23
LOC-RULE-021,ZSSZ_2026,国务院+地方政府联动,https://www.gov.cn/zhengce/zhongyangwenjian/202601/content_7000108.htm,2026年小微企业融资综合成本下降专项行动通知,国办发〔2026〕1号,中央+地方联动,全国性融资成本下降,全国,各地联动,全国小微企业,各银行对小微企业贷款利率在LPR基础上加点不超过100BP（即上限LPR+1%）;地方可叠加贴息,各地方政府在此基础上叠加0.5%-1.5%不等的贴息,各地合计上限见地方细则,LPR+1%为全国性上限红线，实际执行中部分银行对优质客户可更低,全国性利率上限提示；各地叠加贴息查询引导,2026-01-05,2026-03-01,2026-06-23
LOC-RULE-022,HNSZ_ZHENGZHOU,郑州市金融工作局,https://www.zhengzhou.gov.cn/zwgk/zcfg/202603/t20260315_6012398.html,郑州市小微企业融资担保费减免实施细则,郑金监〔2026〕8号,地方政策,担保费减免,河南省,郑州市,在郑注册的小微企业,在郑州市注册经营且纳税等级M级以上的小微企业,对单户500万元以下的融资担保业务，担保费率降至0.8%以下,单户≤500万元,担保费率优惠需与合作担保公司确认资格，并非所有银行都适用,郑州地区企业担保费减免引导；担保公司合作清单查询,2026-03-15,2026-04-01,2026-06-23
LOC-RULE-023,HBSZ_WUHAN,武汉市地方金融工作局,https://www.wuhan.gov.cn/zwgk/zcfg/bmgz/202604/t20260408_6021100.html,武汉市科技型企业知识价值信用贷款操作指引,武金监发〔2026〕10号,地方政策,知识价值信用贷,湖北省,武汉市,在汉科技型企业,在武汉市注册并拥有有效知识产权（专利/软著）的科技型企业,无需抵押，以知识产权评估值核定信用贷款额度，单户最高500万元,单户≤500万元,知识产权评估由指定评估机构进行，评估费用可申请财政补贴,武汉科技型企业重点匹配；知识产权评估流程引导,2026-04-08,2026-05-01,2026-06-23
LOC-RULE-024,GD_GUANGZHOU,广州市地方金融监督管理局,https://www.gz.gov.cn/zwgk/zcfg/bmgz/202605/t20260520_6025018.html,广州市普惠型小微企业贷款风险补偿资金管理办法,穗金监规〔2026〕5号,地方政策,贷款风险补偿,广东省,广州市,在穗小微企业（重点：制造业/商贸/科创）,在广州市注册且符合四类产业导向的小微企业,对合作银行发放的普惠型小微企业不良贷款给予最高40%风险补偿,按实际不良贷款额,风险补偿资金只适用于合作清单内的银行机构，非合作行不适用,广州地区企业合作银行查询引导；四类产业企业优先提示,2026-05-20,2026-06-15,2026-06-23
