record_id,source_dataset,data_origin,borrower_scope,business_type,industry,business_age,monthly_revenue,monthly_cost,net_cashflow,existing_debt,loan_amount,loan_currency,loan_term,interest_rate,has_license,has_bank_flow,overdue_history,has_guarantee,risk_label,risk_label_definition,original_credit_risk,checking_status_code,credit_history_code,loan_purpose_code,loan_purpose,savings_code,employment_duration_code,installment_rate_code,personal_status_sex_code,other_debtors_code,present_residence_code,property_code,age,other_installment_plans_code,housing_code,number_credits_code,job_code,people_liable_code,telephone_code,foreign_worker_code
SGC-0011,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3905,DEM,11,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,0,other,1,3,2,3,1,2,1,36,3,1,2,3,1,1,2
SGC-0012,UCI South German Credit,public_real_world_historical,individual,,,,,,,,6187,DEM,30,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,1,new_car,2,4,1,4,1,4,3,24,3,1,2,3,2,1,2
SGC-0013,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1957,DEM,6,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,3,furniture_equipment,1,4,1,2,1,4,3,31,3,2,1,3,2,1,2
SGC-0014,UCI South German Credit,public_real_world_historical,individual,,,,,,,,7582,DEM,48,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,3,10,business,2,1,2,3,1,4,4,31,3,2,1,4,2,2,2
SGC-0015,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1936,DEM,18,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,2,3,furniture_equipment,5,4,2,4,1,4,3,23,3,1,2,2,2,1,2
SGC-0016,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2647,DEM,6,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,2,3,furniture_equipment,3,3,2,3,1,3,1,44,3,1,1,3,1,1,2
SGC-0017,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3939,DEM,11,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,0,other,1,3,1,3,1,2,1,40,3,2,2,2,1,1,2
SGC-0018,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3213,DEM,18,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,2,3,furniture_equipment,3,2,1,4,1,3,1,25,3,1,1,3,2,1,2
SGC-0019,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2337,DEM,36,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,4,3,furniture_equipment,1,5,4,3,1,4,1,36,3,2,1,3,2,1,2
SGC-0020,UCI South German Credit,public_real_world_historical,individual,,,,,,,,7228,DEM,11,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,0,other,1,3,1,3,1,4,2,39,3,2,2,2,2,1,2
SGC-0021,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3676,DEM,6,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,0,other,1,3,1,3,1,3,1,37,3,1,3,3,1,1,2
SGC-0022,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3124,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,4,0,other,1,2,1,3,1,3,1,49,1,2,2,2,1,1,2
SGC-0023,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2384,DEM,36,,,,,0,1,1=bad credit risk; 0=good credit risk,0,2,2,5,domestic_appliances,1,2,4,3,1,1,4,33,3,1,1,2,2,1,2
SGC-0024,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1424,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,4,4,radio_television,1,4,4,3,1,3,2,26,3,2,1,3,2,1,2
SGC-0025,UCI South German Credit,public_real_world_historical,individual,,,,,,,,4716,DEM,6,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,0,other,5,2,1,3,1,3,1,44,3,2,2,2,1,1,2
SGC-0026,UCI South German Credit,public_real_world_historical,individual,,,,,,,,4771,DEM,11,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,3,3,furniture_equipment,1,4,2,3,1,4,2,51,3,2,1,3,2,1,2
SGC-0027,UCI South German Credit,public_real_world_historical,individual,,,,,,,,652,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,2,2,used_car,1,5,4,2,1,4,2,24,3,1,1,3,2,1,2
SGC-0028,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1154,DEM,9,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,4,3,furniture_equipment,1,5,2,3,1,4,1,37,3,2,3,2,2,1,2
SGC-0029,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3556,DEM,15,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,0,other,5,3,3,3,1,2,4,29,3,2,1,3,2,1,2
SGC-0030,UCI South German Credit,public_real_world_historical,individual,,,,,,,,4796,DEM,42,,,,,0,0,1=bad credit risk; 0=good credit risk,1,3,4,1,new_car,1,5,4,3,1,4,4,56,3,3,1,3,2,1,2
SGC-0031,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3017,DEM,30,,,,,0,0,1=bad credit risk; 0=good credit risk,1,3,4,3,furniture_equipment,1,5,4,3,1,4,2,47,3,2,1,3,2,1,2
SGC-0032,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3535,DEM,36,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,0,other,1,4,4,3,1,4,3,37,3,2,2,3,2,2,2
SGC-0033,UCI South German Credit,public_real_world_historical,individual,,,,,,,,6614,DEM,36,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,0,other,1,5,4,3,1,4,3,34,3,2,2,4,2,2,2
SGC-0034,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1376,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,3,furniture_equipment,3,4,4,2,1,1,3,28,3,2,1,3,2,1,2
SGC-0035,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1721,DEM,15,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,2,0,other,1,2,2,3,1,3,1,36,3,2,1,3,2,1,2
SGC-0036,UCI South German Credit,public_real_world_historical,individual,,,,,,,,860,DEM,6,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,0,other,1,5,1,2,1,4,4,39,3,2,2,3,2,2,2
SGC-0037,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1495,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,0,other,1,5,4,3,1,1,1,38,3,2,2,2,1,1,2
SGC-0038,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1934,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,3,furniture_equipment,1,5,2,3,1,2,4,26,3,2,2,3,2,1,2
SGC-0039,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3378,DEM,18,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,1,new_car,5,3,2,3,1,1,2,31,3,2,1,3,2,2,2
SGC-0040,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3868,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,1,new_car,1,5,4,2,1,2,3,41,3,1,2,4,2,2,2
SGC-0041,UCI South German Credit,public_real_world_historical,individual,,,,,,,,996,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,5,domestic_appliances,5,4,4,2,1,4,1,23,3,2,2,3,2,1,2
SGC-0042,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1755,DEM,24,,,,,1,0,1=bad credit risk; 0=good credit risk,1,1,2,10,business,1,5,4,2,3,4,1,58,3,2,1,2,2,2,2
SGC-0043,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1028,DEM,18,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,0,other,1,3,4,2,1,3,1,36,3,2,2,3,2,1,2
SGC-0044,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2825,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,4,9,retraining,5,4,4,3,1,3,4,34,3,2,2,3,1,2,2
SGC-0045,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1239,DEM,18,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,2,6,repairs,5,3,4,3,1,4,4,61,3,3,1,3,2,1,2
SGC-0046,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1216,DEM,18,,,,,0,1,1=bad credit risk; 0=good credit risk,0,1,2,0,other,1,2,4,2,1,3,3,23,3,1,1,3,2,2,2
SGC-0047,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1258,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,9,retraining,1,4,4,3,1,1,1,25,3,2,1,3,2,2,2
SGC-0048,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1864,DEM,18,,,,,0,1,1=bad credit risk; 0=good credit risk,0,4,4,6,repairs,2,3,4,2,1,2,1,30,3,2,2,3,2,1,2
SGC-0049,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1474,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,0,other,2,2,4,4,1,3,1,33,3,2,1,3,2,2,2
SGC-0050,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1382,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,9,retraining,2,4,4,3,1,1,1,26,3,2,2,3,2,2,2
SGC-0051,UCI South German Credit,public_real_world_historical,individual,,,,,,,,640,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,0,other,1,3,4,1,1,2,1,49,3,2,1,2,2,1,2
SGC-0052,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3919,DEM,36,,,,,0,0,1=bad credit risk; 0=good credit risk,1,3,2,3,furniture_equipment,1,3,2,3,1,2,1,23,3,2,1,3,2,2,2
SGC-0053,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1224,DEM,9,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,0,other,1,3,3,3,1,1,1,30,3,2,2,3,2,1,2
SGC-0054,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2331,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,3,furniture_equipment,5,5,1,3,2,4,1,49,3,2,1,3,2,2,2
SGC-0055,UCI South German Credit,public_real_world_historical,individual,,,,,,,,6313,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,1,new_car,5,5,3,3,1,4,3,41,3,2,1,4,1,2,2
SGC-0056,UCI South German Credit,public_real_world_historical,individual,,,,,,,,385,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,3,furniture_equipment,1,4,4,2,1,3,1,58,3,2,4,2,2,2,2
SGC-0057,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1655,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,3,furniture_equipment,1,5,2,3,1,4,1,63,3,2,2,2,2,2,2
SGC-0058,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1053,DEM,15,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,2,3,furniture_equipment,1,2,4,4,1,2,1,27,3,2,1,3,2,1,1
SGC-0059,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3160,DEM,21,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,3,furniture_equipment,5,5,4,3,1,3,2,41,3,2,1,3,2,2,2
SGC-0060,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3079,DEM,36,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,0,other,5,3,4,3,1,4,1,36,3,2,1,3,2,1,2
SGC-0061,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1163,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,0,other,3,3,4,3,1,4,1,44,3,2,1,3,2,2,2
SGC-0062,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2679,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,1,new_car,1,2,4,2,1,1,4,29,3,2,1,4,2,2,2
SGC-0063,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3578,DEM,48,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,3,furniture_equipment,5,5,4,3,1,1,1,47,3,2,1,3,2,2,2
SGC-0064,UCI South German Credit,public_real_world_historical,individual,,,,,,,,10875,DEM,36,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,3,0,other,1,5,2,3,1,2,3,45,3,2,2,3,1,2,2
SGC-0065,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1344,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,3,0,other,1,3,4,3,1,2,1,43,3,2,2,2,1,1,2
SGC-0066,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1237,DEM,6,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,3,furniture_equipment,2,3,1,2,1,1,2,27,3,2,2,3,2,1,2
SGC-0067,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3077,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,3,furniture_equipment,1,3,2,3,1,4,3,52,3,2,1,3,2,2,2
SGC-0068,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2284,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,3,furniture_equipment,1,4,4,3,1,2,3,28,3,2,1,3,2,2,2
SGC-0069,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1567,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,2,3,furniture_equipment,1,3,1,2,1,1,3,22,3,2,1,3,2,2,2
SGC-0070,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2032,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,3,0,other,1,5,4,3,1,4,4,60,3,3,2,3,2,2,2
SGC-0071,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2745,DEM,21,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,4,2,used_car,4,4,3,3,1,2,3,32,3,2,2,3,2,2,2
SGC-0072,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1867,DEM,30,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,3,furniture_equipment,5,5,4,3,1,4,3,58,3,2,1,3,2,2,2
SGC-0073,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2299,DEM,36,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,3,furniture_equipment,3,5,4,3,1,4,3,39,3,2,1,3,2,1,2
SGC-0074,UCI South German Credit,public_real_world_historical,individual,,,,,,,,929,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,2,used_car,5,4,4,3,1,2,3,31,2,2,1,3,2,2,2
SGC-0075,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3399,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,3,2,3,furniture_equipment,5,5,2,3,1,3,3,37,3,2,1,4,2,1,2
SGC-0076,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2030,DEM,9,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,2,2,used_car,5,4,2,3,1,1,3,24,3,2,1,3,2,2,2
SGC-0077,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3275,DEM,21,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,1,new_car,1,5,1,3,1,4,3,36,3,2,1,4,2,2,2
SGC-0078,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1940,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,0,other,4,5,4,3,1,4,1,60,3,2,1,3,2,2,2
SGC-0079,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1602,DEM,21,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,0,other,1,5,4,4,1,3,3,30,3,2,2,3,2,2,2
SGC-0080,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1979,DEM,15,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,3,furniture_equipment,5,5,4,3,1,2,3,35,3,2,1,3,2,1,2
SGC-0081,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2022,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,0,other,1,3,4,2,1,4,3,37,3,2,1,3,2,2,2
SGC-0082,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3342,DEM,36,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,3,furniture_equipment,5,5,4,3,1,2,3,51,3,2,1,3,2,2,2
SGC-0083,UCI South German Credit,public_real_world_historical,individual,,,,,,,,5866,DEM,18,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,2,0,other,2,3,2,3,1,2,3,30,3,2,2,3,2,2,2
SGC-0084,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2360,DEM,15,,,,,0,0,1=bad credit risk; 0=good credit risk,1,3,4,1,new_car,3,3,2,3,1,2,3,36,3,2,1,3,2,2,2
SGC-0085,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1520,DEM,15,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,2,used_car,5,5,4,3,1,4,2,63,3,2,1,3,2,1,2
SGC-0086,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3651,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,2,0,other,4,3,1,3,1,3,2,31,3,2,1,3,1,1,2
SGC-0087,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2346,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,1,new_car,1,4,4,3,1,3,3,35,3,2,2,3,2,2,2
SGC-0088,UCI South German Credit,public_real_world_historical,individual,,,,,,,,4454,DEM,36,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,3,3,furniture_equipment,1,3,4,2,1,4,1,34,3,2,2,3,2,1,2
SGC-0089,UCI South German Credit,public_real_world_historical,individual,,,,,,,,666,DEM,6,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,4,0,other,4,4,3,2,1,4,1,39,3,2,2,2,2,2,2
SGC-0090,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1965,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,3,0,other,5,3,4,2,1,4,3,42,3,1,2,3,2,2,2
SGC-0091,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1995,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,4,0,other,2,2,4,3,1,1,3,27,3,2,1,3,2,1,2
SGC-0092,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2991,DEM,30,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,2,3,furniture_equipment,5,5,2,2,1,4,3,25,3,2,1,3,2,1,2
SGC-0093,UCI South German Credit,public_real_world_historical,individual,,,,,,,,4221,DEM,30,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,0,9,retraining,1,3,2,2,1,1,3,28,3,2,2,3,2,1,2
SGC-0094,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1364,DEM,9,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,2,3,furniture_equipment,1,4,3,3,1,4,1,59,3,2,1,3,2,1,2
SGC-0095,UCI South German Credit,public_real_world_historical,individual,,,,,,,,6361,DEM,18,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,4,2,used_car,1,5,2,3,1,1,4,41,3,2,1,3,2,2,2
SGC-0096,UCI South German Credit,public_real_world_historical,individual,,,,,,,,4526,DEM,27,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,2,used_car,4,2,4,3,1,2,1,32,2,2,2,2,1,2,2
SGC-0097,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3573,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,4,3,furniture_equipment,1,3,1,2,1,1,1,23,3,2,1,2,2,1,2
SGC-0098,UCI South German Credit,public_real_world_historical,individual,,,,,,,,4455,DEM,36,,,,,0,1,1=bad credit risk; 0=good credit risk,0,2,3,9,retraining,1,3,2,1,1,2,1,30,2,2,2,4,2,2,2
SGC-0099,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2136,DEM,9,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,2,2,used_car,1,3,3,3,1,2,1,25,3,2,1,3,2,1,2
SGC-0100,UCI South German Credit,public_real_world_historical,individual,,,,,,,,5954,DEM,42,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,4,9,retraining,1,4,2,2,1,1,1,41,1,2,2,2,2,1,2
SGC-0101,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3777,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,2,used_car,4,3,4,3,1,4,1,40,3,2,1,3,2,2,2
SGC-0102,UCI South German Credit,public_real_world_historical,individual,,,,,,,,806,DEM,15,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,2,9,retraining,1,3,4,2,1,4,2,22,3,2,1,2,2,1,2
SGC-0103,UCI South German Credit,public_real_world_historical,individual,,,,,,,,4712,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,3,9,retraining,5,3,4,3,1,2,2,34,1,2,2,4,2,2,2
SGC-0104,UCI South German Credit,public_real_world_historical,individual,,,,,,,,7432,DEM,36,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,3,0,other,1,3,2,2,1,2,2,54,3,1,1,3,2,1,2
SGC-0105,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1851,DEM,24,,,,,1,0,1=bad credit risk; 0=good credit risk,1,4,4,3,furniture_equipment,1,4,4,4,3,2,3,33,3,2,2,3,2,2,2
SGC-0106,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1393,DEM,24,,,,,1,0,1=bad credit risk; 0=good credit risk,1,4,2,0,other,1,3,2,3,3,2,1,31,3,2,1,3,2,2,2
SGC-0107,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1412,DEM,12,,,,,1,0,1=bad credit risk; 0=good credit risk,1,4,4,9,retraining,1,3,4,2,3,2,1,29,3,2,2,4,2,2,2
SGC-0108,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1473,DEM,18,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,3,furniture_equipment,1,2,3,4,1,4,1,39,3,2,1,3,2,2,2
SGC-0109,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1533,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,3,furniture_equipment,1,2,4,2,1,3,3,38,2,2,1,3,2,2,2
SGC-0110,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2012,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,6,repairs,5,4,4,2,1,2,3,61,3,2,1,3,2,1,2
SGC-0111,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3959,DEM,15,,,,,0,1,1=bad credit risk; 0=good credit risk,0,1,2,0,other,1,3,3,2,1,2,2,29,3,2,1,3,2,2,2
SGC-0112,UCI South German Credit,public_real_world_historical,individual,,,,,,,,428,DEM,6,,,,,0,0,1=bad credit risk; 0=good credit risk,1,1,2,2,used_car,1,5,2,2,1,1,2,49,1,2,1,3,2,2,2
SGC-0113,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2366,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,4,0,other,3,4,3,1,1,3,3,36,3,2,1,4,2,2,2
SGC-0114,UCI South German Credit,public_real_world_historical,individual,,,,,,,,763,DEM,12,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,2,used_car,1,3,4,2,1,1,1,26,3,2,1,3,2,2,2
SGC-0115,UCI South German Credit,public_real_world_historical,individual,,,,,,,,3976,DEM,21,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,2,2,used_car,5,4,2,3,1,3,3,35,3,2,1,3,2,2,2
SGC-0116,UCI South German Credit,public_real_world_historical,individual,,,,,,,,6260,DEM,18,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,2,0,other,1,4,3,3,1,3,1,28,3,1,1,2,2,1,2
SGC-0117,UCI South German Credit,public_real_world_historical,individual,,,,,,,,1919,DEM,9,,,,,0,0,1=bad credit risk; 0=good credit risk,1,2,4,2,used_car,1,4,4,3,1,3,3,35,3,1,1,3,2,2,2
SGC-0118,UCI South German Credit,public_real_world_historical,individual,,,,,,,,2603,DEM,24,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,2,1,new_car,4,3,2,2,1,4,3,28,3,1,1,3,2,2,2
SGC-0119,UCI South German Credit,public_real_world_historical,individual,,,,,,,,936,DEM,9,,,,,0,0,1=bad credit risk; 0=good credit risk,1,4,4,6,repairs,3,5,4,3,1,2,3,52,3,2,2,3,2,2,2
